COUNTRYNEW,Help,friends,comfort,science,EMP_2010,Age,Gender,Education,Subjective_Income,wbi,employment,help
United States,1,Sought Friends,1,Belief,1,19,Female,Secondary,Getting By,High Income,Fully Employed by employer,Sought Therapy
United States,1,Did Not seek Friends,0,Belief,4,45,Female,Secondary,Very Difficult to get By,High Income,Unemployed,Sought Therapy
United States,1,Did Not seek Friends,1,Belief,6,65,Male,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Did Not seek Friends,0,No Belief,6,28,Male,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,0,Belief,1,62,Male,Secondary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,1,Did Not seek Friends,1,No Belief,1,80,Female,Secondary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,Belief,6,79,Female,Tertiary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,6,46,Female,Tertiary,Very Difficult to get By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,0,Belief,6,24,Female,Tertiary,Living Comfortably,High Income,Out of Workforce,Sought Therapy
United States,0,Sought Friends,0,Belief,1,28,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Did not seek therapy
United States,1,Sought Friends,1,Belief,6,71,Female,Tertiary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,6,72,Female,Tertiary,Living Comfortably,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,6,26,Female,Secondary,Difficult to Get By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,0,Belief,1,40,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,0,Belief,1,57,Female,Tertiary,Getting By,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,Belief,2,23,Male,Secondary,Living Comfortably,High Income,Self Employed,Sought Therapy
United States,0,Sought Friends,1,Belief,6,50,Female,Secondary,Getting By,High Income,Out of Workforce,Did not seek therapy
United States,1,Sought Friends,1,Belief,6,74,Female,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,0,No Belief,4,58,Male,Secondary,Difficult to Get By,High Income,Unemployed,Sought Therapy
United States,1,Sought Friends,0,Belief,4,16,Female,Secondary,Living Comfortably,High Income,Unemployed,Sought Therapy
United States,1,Did Not seek Friends,1,No Belief,6,69,Female,Tertiary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,0,Sought Friends,0,No Belief,1,24,Male,Secondary,Difficult to Get By,High Income,Fully Employed by employer,Did not seek therapy
United States,0,Sought Friends,1,Belief,1,49,Male,Secondary,Living Comfortably,High Income,Fully Employed by employer,Did not seek therapy
United States,1,Sought Friends,1,Belief,1,25,Male,Secondary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,0,Did Not seek Friends,1,No Belief,6,77,Male,Secondary,Difficult to Get By,High Income,Out of Workforce,Did not seek therapy
United States,1,Sought Friends,1,Belief,1,33,Male,Secondary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,0,Sought Friends,0,Belief,1,54,Male,Secondary,Getting By,High Income,Fully Employed by employer,Did not seek therapy
United States,1,Sought Friends,1,Belief,1,32,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,0,Did Not seek Friends,1,No Belief,1,52,Male,Secondary,Living Comfortably,High Income,Fully Employed by employer,Did not seek therapy
United States,1,Sought Friends,0,Belief,3,67,Male,Tertiary,Living Comfortably,High Income,"Employed Part Time, Content",Sought Therapy
United States,1,Did Not seek Friends,1,Belief,4,30,Female,Secondary,Very Difficult to get By,High Income,Unemployed,Sought Therapy
United States,1,Sought Friends,1,Belief,1,22,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,0,Sought Friends,1,No Belief,6,71,Female,Secondary,Getting By,High Income,Out of Workforce,Did not seek therapy
United States,0,Sought Friends,0,Belief,6,78,Female,Secondary,Getting By,High Income,Out of Workforce,Did not seek therapy
United States,1,Sought Friends,1,Belief,6,54,Female,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,0,Belief,1,37,Female,Tertiary,Difficult to Get By,High Income,Fully Employed by employer,Sought Therapy
United States,0,Sought Friends,1,Belief,6,74,Female,Secondary,Very Difficult to get By,High Income,Out of Workforce,Did not seek therapy
United States,1,Sought Friends,1,Belief,6,61,Female,Secondary,Very Difficult to get By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,0,Belief,1,47,Female,Tertiary,Difficult to Get By,High Income,Fully Employed by employer,Sought Therapy
United States,0,Sought Friends,0,Belief,4,30,Male,Secondary,Getting By,High Income,Unemployed,Did not seek therapy
United States,0,Sought Friends,1,Belief,3,83,Female,Secondary,Getting By,High Income,"Employed Part Time, Content",Did not seek therapy
United States,1,Sought Friends,1,Belief,6,66,Female,Tertiary,Living Comfortably,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,4,62,Male,Secondary,Very Difficult to get By,High Income,Unemployed,Sought Therapy
United States,1,Sought Friends,1,Belief,1,61,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,0,Sought Friends,0,Belief,1,41,Male,Secondary,Getting By,High Income,Fully Employed by employer,Did not seek therapy
United States,1,Sought Friends,0,Belief,3,18,Female,Secondary,Living Comfortably,High Income,"Employed Part Time, Content",Sought Therapy
United States,1,Sought Friends,1,Belief,6,67,Female,Tertiary,Living Comfortably,High Income,Out of Workforce,Sought Therapy
United States,1,Did Not seek Friends,0,Belief,6,100,Female,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,0,Belief,1,23,Female,Tertiary,Difficult to Get By,High Income,Fully Employed by employer,Sought Therapy
United States,0,Sought Friends,1,Belief,5,51,Male,Secondary,Very Difficult to get By,High Income,"Employed Part Time,not content",Did not seek therapy
United States,1,Sought Friends,1,Belief,1,35,Female,Secondary,Difficult to Get By,High Income,Fully Employed by employer,Sought Therapy
United States,1,Did Not seek Friends,1,No Belief,3,40,Female,Tertiary,Living Comfortably,High Income,"Employed Part Time, Content",Sought Therapy
United States,1,Sought Friends,1,Belief,6,39,Female,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,0,Belief,6,68,Male,Secondary,Very Difficult to get By,High Income,Out of Workforce,Sought Therapy
United States,0,Sought Friends,1,Belief,1,23,Male,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Did not seek therapy
United States,1,Sought Friends,1,Belief,5,35,Female,Secondary,Very Difficult to get By,High Income,"Employed Part Time,not content",Sought Therapy
United States,0,Sought Friends,1,Belief,6,84,Female,Tertiary,Living Comfortably,High Income,Out of Workforce,Did not seek therapy
United States,1,Sought Friends,0,Belief,6,66,Male,Secondary,Living Comfortably,High Income,Out of Workforce,Sought Therapy
United States,1,Did Not seek Friends,1,Belief,1,45,Male,Secondary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,Belief,1,31,Male,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,Belief,6,40,Male,Secondary,Living Comfortably,High Income,Out of Workforce,Sought Therapy
United States,0,Did Not seek Friends,0,No Belief,6,73,Female,Secondary,Living Comfortably,High Income,Out of Workforce,Did not seek therapy
United States,0,Sought Friends,1,Belief,1,35,Male,Secondary,Very Difficult to get By,High Income,Fully Employed by employer,Did not seek therapy
United States,1,Sought Friends,1,Belief,1,25,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,0,Belief,4,38,Male,Secondary,Getting By,High Income,Unemployed,Sought Therapy
United States,1,Sought Friends,0,Belief,1,30,Female,Tertiary,Getting By,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,Belief,1,30,Female,Tertiary,Difficult to Get By,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,Belief,5,38,Male,Secondary,Very Difficult to get By,High Income,"Employed Part Time,not content",Sought Therapy
United States,1,Sought Friends,1,No Belief,6,66,Female,Secondary,Living Comfortably,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,6,77,Male,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,1,60,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,0,Belief,3,100,Female,Tertiary,Living Comfortably,High Income,"Employed Part Time, Content",Sought Therapy
United States,1,Sought Friends,0,Belief,1,33,Female,Secondary,Difficult to Get By,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,Belief,6,74,Female,Secondary,Very Difficult to get By,High Income,Out of Workforce,Sought Therapy
United States,1,Did Not seek Friends,0,Belief,1,28,Female,Tertiary,Getting By,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,Belief,4,21,Female,Secondary,Difficult to Get By,High Income,Unemployed,Sought Therapy
United States,1,Sought Friends,0,Belief,1,60,Female,Tertiary,Getting By,High Income,Fully Employed by employer,Sought Therapy
United States,0,Sought Friends,1,Belief,6,65,Male,Secondary,Living Comfortably,High Income,Out of Workforce,Did not seek therapy
United States,1,Sought Friends,0,Belief,1,37,Male,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,Belief,6,70,Female,Tertiary,Living Comfortably,High Income,Out of Workforce,Sought Therapy
United States,1,Did Not seek Friends,1,Belief,6,64,Male,Secondary,Difficult to Get By,High Income,Out of Workforce,Sought Therapy
United States,1,Did Not seek Friends,0,No Belief,6,40,Male,Secondary,Very Difficult to get By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,6,50,Female,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,0,Did Not seek Friends,0,Belief,6,82,Female,Secondary,Living Comfortably,High Income,Out of Workforce,Did not seek therapy
United States,0,Did Not seek Friends,1,Belief,1,53,Male,Elementary or less,Difficult to Get By,High Income,Fully Employed by employer,Did not seek therapy
United States,1,Did Not seek Friends,0,Belief,5,29,Male,Tertiary,Very Difficult to get By,High Income,"Employed Part Time,not content",Sought Therapy
United States,1,Sought Friends,1,Belief,5,66,Female,Tertiary,Difficult to Get By,High Income,"Employed Part Time,not content",Sought Therapy
United States,0,Sought Friends,1,No Belief,6,59,Female,Secondary,Living Comfortably,High Income,Out of Workforce,Did not seek therapy
United States,0,Sought Friends,1,Belief,4,29,Male,Tertiary,Getting By,High Income,Unemployed,Did not seek therapy
United States,1,Sought Friends,1,Belief,1,26,Male,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,Belief,1,51,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,Belief,4,37,Male,Secondary,Difficult to Get By,High Income,Unemployed,Sought Therapy
United States,1,Sought Friends,0,No Belief,3,63,Female,Tertiary,Living Comfortably,High Income,"Employed Part Time, Content",Sought Therapy
United States,0,Did Not seek Friends,1,Belief,5,19,Female,Secondary,Getting By,High Income,"Employed Part Time,not content",Did not seek therapy
United States,1,Sought Friends,0,No Belief,6,42,Male,Tertiary,Living Comfortably,High Income,Out of Workforce,Sought Therapy
United States,1,Did Not seek Friends,1,Belief,6,70,Female,Secondary,Living Comfortably,High Income,Out of Workforce,Sought Therapy
United States,0,Sought Friends,1,Belief,6,74,Female,Secondary,Difficult to Get By,High Income,Out of Workforce,Did not seek therapy
United States,1,Sought Friends,1,Belief,1,40,Female,Tertiary,Getting By,High Income,Fully Employed by employer,Sought Therapy
United States,0,Sought Friends,0,Belief,5,50,Female,Secondary,Getting By,High Income,"Employed Part Time,not content",Did not seek therapy
United States,1,Sought Friends,1,No Belief,6,80,Female,Secondary,Living Comfortably,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,6,27,Male,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,0,Sought Friends,0,Belief,1,39,Male,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Did not seek therapy
United States,1,Sought Friends,0,No Belief,1,57,Male,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,1,Did Not seek Friends,0,Belief,1,69,Male,Secondary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,0,Sought Friends,1,Belief,6,26,Female,Secondary,Getting By,High Income,Out of Workforce,Did not seek therapy
United States,1,Sought Friends,0,Belief,1,35,Male,Tertiary,Getting By,High Income,Fully Employed by employer,Sought Therapy
United States,1,Did Not seek Friends,0,Belief,6,70,Male,Elementary or less,Difficult to Get By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,0,Belief,5,22,Female,Tertiary,Living Comfortably,High Income,"Employed Part Time,not content",Sought Therapy
United States,1,Sought Friends,0,Belief,6,61,Female,Tertiary,Difficult to Get By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,0,Belief,1,31,Female,Secondary,Difficult to Get By,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,Belief,1,27,Female,Tertiary,Getting By,High Income,Fully Employed by employer,Sought Therapy
United States,1,Sought Friends,1,No Belief,6,64,Female,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,No Belief,6,76,Male,Tertiary,Living Comfortably,High Income,Out of Workforce,Sought Therapy
United States,0,Did Not seek Friends,0,Belief,5,21,Male,Secondary,Getting By,High Income,"Employed Part Time,not content",Did not seek therapy
United States,0,Sought Friends,1,Belief,1,21,Male,Secondary,Getting By,High Income,Fully Employed by employer,Did not seek therapy
United States,1,Sought Friends,1,Belief,6,52,Female,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,1,27,Male,Tertiary,Difficult to Get By,High Income,Fully Employed by employer,Sought Therapy
United States,0,Did Not seek Friends,0,No Belief,1,39,Male,Secondary,Living Comfortably,High Income,Fully Employed by employer,Did not seek therapy
United States,1,Sought Friends,1,Belief,1,35,Female,Secondary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,0,Sought Friends,1,Belief,6,54,Male,Tertiary,Living Comfortably,High Income,Out of Workforce,Did not seek therapy
United States,0,Did Not seek Friends,0,Belief,4,40,Female,Secondary,Very Difficult to get By,High Income,Unemployed,Did not seek therapy
United States,1,Sought Friends,0,Belief,3,20,Female,Secondary,Getting By,High Income,"Employed Part Time, Content",Sought Therapy
United States,1,Sought Friends,1,Belief,6,66,Female,Tertiary,Difficult to Get By,High Income,Out of Workforce,Sought Therapy
United States,1,Did Not seek Friends,1,Belief,6,58,Male,Tertiary,Living Comfortably,High Income,Out of Workforce,Sought Therapy
United States,1,Did Not seek Friends,1,Belief,6,67,Male,Secondary,Living Comfortably,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,1,Belief,1,30,Male,Secondary,Difficult to Get By,High Income,Fully Employed by employer,Sought Therapy
United States,0,Sought Friends,1,Belief,1,59,Male,Secondary,Difficult to Get By,High Income,Fully Employed by employer,Did not seek therapy
United States,1,Sought Friends,1,Belief,6,63,Female,Secondary,Getting By,High Income,Out of Workforce,Sought Therapy
United States,1,Sought Friends,0,No Belief,3,27,Female,Secondary,Living Comfortably,High Income,"Employed Part Time, Content",Sought Therapy
United States,0,Sought Friends,0,Belief,1,32,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Did not seek therapy
United States,0,Sought Friends,0,Belief,1,53,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Did not seek therapy
United States,1,Sought Friends,0,Belief,1,43,Female,Tertiary,Living Comfortably,High Income,Fully Employed by employer,Sought Therapy
United States,0,Sought Friends,0,Belief,1,32,Female,Secondary,Getting By,High Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Did Not seek Friends,0,Belief,6,33,Female,Secondary,Very Difficult to get By,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Sought Friends,1,No Belief,5,30,Male,Tertiary,Getting By,Lower-middle Income,"Employed Part Time,not content",Did not seek therapy
Egypt,0,Sought Friends,1,No Belief,4,33,Male,Secondary,Getting By,Lower-middle Income,Unemployed,Did not seek therapy
Egypt,0,Sought Friends,1,No Belief,6,35,Female,Tertiary,Getting By,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,6,21,Female,Secondary,Getting By,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,6,30,Male,Tertiary,Very Difficult to get By,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,5,19,Female,Tertiary,Getting By,Lower-middle Income,"Employed Part Time,not content",Did not seek therapy
Egypt,0,Sought Friends,1,Belief,6,21,Male,Secondary,Getting By,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,4,26,Male,Tertiary,Getting By,Lower-middle Income,Unemployed,Did not seek therapy
Egypt,0,Sought Friends,1,No Belief,6,19,Female,Secondary,Difficult to Get By,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Did Not seek Friends,1,Belief,6,44,Male,Secondary,Very Difficult to get By,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,1,Sought Friends,1,No Belief,5,30,Female,Secondary,Very Difficult to get By,Lower-middle Income,"Employed Part Time,not content",Sought Therapy
Egypt,0,Sought Friends,1,No Belief,6,33,Female,Tertiary,Getting By,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,5,32,Male,Secondary,Very Difficult to get By,Lower-middle Income,"Employed Part Time,not content",Did not seek therapy
Egypt,0,Sought Friends,0,Belief,4,21,Male,Secondary,Getting By,Lower-middle Income,Unemployed,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,6,35,Female,Secondary,Difficult to Get By,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,4,22,Male,Elementary or less,Getting By,Lower-middle Income,Unemployed,Did not seek therapy
Egypt,1,Sought Friends,0,Belief,6,36,Female,Secondary,Difficult to Get By,Lower-middle Income,Out of Workforce,Sought Therapy
Egypt,0,Did Not seek Friends,1,Belief,2,19,Male,Secondary,Getting By,Lower-middle Income,Self Employed,Did not seek therapy
Egypt,0,Did Not seek Friends,1,Belief,6,18,Female,Secondary,Getting By,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Did Not seek Friends,1,Belief,1,56,Female,Secondary,Getting By,Lower-middle Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Sought Friends,1,No Belief,6,30,Female,Secondary,Getting By,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,1,Sought Friends,0,Belief,4,21,Female,Tertiary,Getting By,Lower-middle Income,Unemployed,Sought Therapy
Egypt,0,Did Not seek Friends,1,Belief,1,37,Male,Secondary,Difficult to Get By,Lower-middle Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Did Not seek Friends,1,Belief,5,38,Female,Elementary or less,Getting By,Lower-middle Income,"Employed Part Time,not content",Did not seek therapy
Egypt,0,Sought Friends,1,Belief,1,48,Male,Tertiary,Living Comfortably,Lower-middle Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,6,31,Female,Tertiary,Getting By,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,1,44,Male,Secondary,Difficult to Get By,Lower-middle Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,5,69,Male,Elementary or less,Difficult to Get By,Lower-middle Income,"Employed Part Time,not content",Did not seek therapy
Egypt,0,Sought Friends,1,No Belief,2,25,Male,Tertiary,Living Comfortably,Lower-middle Income,Self Employed,Did not seek therapy
Egypt,0,Did Not seek Friends,1,Belief,5,40,Male,Secondary,Getting By,Lower-middle Income,"Employed Part Time,not content",Did not seek therapy
Egypt,0,Sought Friends,1,Belief,6,21,Female,Secondary,Getting By,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,6,19,Female,Secondary,Getting By,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Sought Friends,1,No Belief,1,32,Male,Secondary,Getting By,Lower-middle Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Sought Friends,0,Belief,1,33,Female,Tertiary,Difficult to Get By,Lower-middle Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Sought Friends,1,No Belief,4,19,Female,Secondary,Getting By,Lower-middle Income,Unemployed,Did not seek therapy
Egypt,1,Did Not seek Friends,1,Belief,6,18,Female,Secondary,Living Comfortably,Lower-middle Income,Out of Workforce,Sought Therapy
Egypt,0,Did Not seek Friends,0,No Belief,6,17,Female,Secondary,Difficult to Get By,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,1,25,Female,Tertiary,Difficult to Get By,Lower-middle Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Did Not seek Friends,1,No Belief,2,32,Female,Tertiary,Living Comfortably,Lower-middle Income,Self Employed,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,2,30,Female,Secondary,Very Difficult to get By,Lower-middle Income,Self Employed,Did not seek therapy
Egypt,1,Did Not seek Friends,0,No Belief,6,54,Female,Secondary,Difficult to Get By,Lower-middle Income,Out of Workforce,Sought Therapy
Egypt,0,Sought Friends,1,No Belief,5,20,Male,Secondary,Very Difficult to get By,Lower-middle Income,"Employed Part Time,not content",Did not seek therapy
Egypt,0,Sought Friends,1,No Belief,1,40,Female,Tertiary,Getting By,Lower-middle Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Did Not seek Friends,1,Belief,1,35,Male,Secondary,Very Difficult to get By,Lower-middle Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,1,25,Male,Secondary,Difficult to Get By,Lower-middle Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Did Not seek Friends,1,Belief,1,38,Male,Elementary or less,Difficult to Get By,Lower-middle Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Did Not seek Friends,0,Belief,4,23,Female,Tertiary,Getting By,Lower-middle Income,Unemployed,Did not seek therapy
Egypt,0,Did Not seek Friends,1,Belief,6,17,Female,Secondary,Living Comfortably,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Did Not seek Friends,0,No Belief,2,28,Female,Secondary,Very Difficult to get By,Lower-middle Income,Self Employed,Did not seek therapy
Egypt,1,Sought Friends,1,Belief,6,33,Female,Secondary,Very Difficult to get By,Lower-middle Income,Out of Workforce,Sought Therapy
Egypt,0,Did Not seek Friends,0,Belief,1,45,Male,Secondary,Living Comfortably,Lower-middle Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,6,25,Male,Secondary,Living Comfortably,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Did Not seek Friends,1,No Belief,4,27,Male,Secondary,Getting By,Lower-middle Income,Unemployed,Did not seek therapy
Egypt,0,Sought Friends,1,No Belief,3,30,Female,Tertiary,Getting By,Lower-middle Income,"Employed Part Time, Content",Did not seek therapy
Egypt,0,Sought Friends,1,No Belief,6,20,Female,Secondary,Living Comfortably,Lower-middle Income,Out of Workforce,Did not seek therapy
Egypt,0,Did Not seek Friends,1,Belief,1,24,Female,Tertiary,Very Difficult to get By,Lower-middle Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Sought Friends,1,No Belief,1,52,Male,Tertiary,Difficult to Get By,Lower-middle Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Did Not seek Friends,1,Belief,1,30,Male,Secondary,Living Comfortably,Lower-middle Income,Fully Employed by employer,Did not seek therapy
Egypt,0,Sought Friends,1,Belief,2,35,Female,Secondary,Difficult to Get By,Lower-middle Income,Self Employed,Did not seek therapy
Egypt,0,Did Not seek Friends,1,No Belief,6,20,Female,Secondary,Getting By,Lower-middle Income,Out of Workforce,Did not seek therapy
